loc_rowid,pl_name,hostname,default_flag,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_massj,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist
5565,KMT-2019-BLG-2974L b,KMT-2019-BLG-2974L,1,Microlensing,2022,,2.000000,,0.28000,,,,,0.47,,6100.0000000
5569,KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,1,Microlensing,2021,,1.260000,,0.00302,,,,,0.26,,800.0000000
5573,KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,1,Microlensing,2021,,0.120000,,15.40000,,,,,0.26,,800.0000000
5577,KMT-2021-BLG-0119L b,KMT-2021-BLG-0119L,1,Microlensing,2022,,2.920000,,5.52000,,,,,0.56,,3130.0000000
5583,KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,1,Microlensing,2022,,3.500000,,0.03524,,,5200.00,,0.78,,4600.0000000
5592,KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,1,Microlensing,2022,,1.620000,,0.11000,,,,,0.27,,5120.0000000
5596,KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,1,Microlensing,2022,,2.800000,,0.21000,,,,,0.56,,6600.0000000
5602,KMT-2021-BLG-0320L b,KMT-2021-BLG-0320L,1,Microlensing,2022,,1.540000,,0.10000,,,,,0.32,,6950.0000000
5603,KMT-2021-BLG-0322L b,KMT-2021-BLG-0322L,1,Microlensing,2021,,,,6.40000,,,,,0.62,,6600.0000000
5606,KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,1,Microlensing,2023,,2.220000,,0.12016,,,,,0.22,,3090.0000000
5609,KMT-2021-BLG-0748L b,KMT-2021-BLG-0748L,1,Microlensing,2022,,2.430000,,0.45000,,,,,0.36,,6090.0000000
5611,KMT-2021-BLG-0909L b,KMT-2021-BLG-0909L,1,Microlensing,2023,,1.750000,,1.26000,,,,,0.38,,6480.0000000
5613,KMT-2021-BLG-0912L b,KMT-2021-BLG-0912L,1,Microlensing,2022,,3.140000,,0.00884,,K,,,0.80,,5560.0000000
5614,KMT-2021-BLG-1077L b,KMT-2021-BLG-1077L,1,Microlensing,2022,,1.260000,,0.22000,,M V,,,0.14,,8240.0000000
5616,KMT-2021-BLG-1077L c,KMT-2021-BLG-1077L,1,Microlensing,2022,,0.930000,,0.25000,,M V,,,0.14,,8240.0000000
5623,KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,1,Microlensing,2023,,3.540000,,1.30000,,,,,0.63,,4540.0000000
5627,KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,1,Microlensing,2022,,1.520000,,0.05994,,,,,0.24,,6640.0000000
5630,KMT-2021-BLG-1303L b,KMT-2021-BLG-1303L,1,Microlensing,2022,,2.890000,,0.38000,,,,,0.57,,6280.0000000
5631,KMT-2021-BLG-1372L b,KMT-2021-BLG-1372L,1,Microlensing,2022,,2.370000,,0.19278,,,,,0.42,,5970.0000000
5634,KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,1,Microlensing,2022,,2.290000,,0.01432,,,,,0.37,,5720.0000000
5639,KMT-2021-BLG-1554L b,KMT-2021-BLG-1554L,1,Microlensing,2022,,0.720000,,0.12000,,,,,0.08,,7680.0000000
5646,KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,1,Microlensing,2022,,2.500000,,0.14473,,,4570.00,,0.58,,7200.0000000
5650,KMT-2021-BLG-1898L b,KMT-2021-BLG-1898L,1,Microlensing,2022,,1.900000,,0.73000,,,,,0.48,,6900.0000000
5652,KMT-2021-BLG-2010L b,KMT-2021-BLG-2010L,1,Microlensing,2023,,1.790000,,1.07000,,,,,0.37,,7090.0000000
5656,KMT-2021-BLG-2294L b,KMT-2021-BLG-2294L,1,Microlensing,2022,,1.150000,,0.07000,,,,,0.14,,6800.0000000
5658,KMT-2021-BLG-2478L b,KMT-2021-BLG-2478L,1,Microlensing,2023,,1.850000,,0.90000,,,,,0.20,,2970.0000000
